,geo_A_lat,geo_A_lon,geo_B_lat,geo_B_lon,geo_A_coordinates,geo_B_coordinates,geo_A_id,geo_B_id,id,created,project_id,task_id,user_id,user_ip,finish_time,timeout,calibration,external_uid,media_url,info,task_created,state,quorum,task_calibration,priority_0,n_answers,fav_user_ids
0,-88.21851485,54.49530479,140.5827945,60.93626281,"(-88.21851484620001, 54.495304785600005)","(140.582794528, 60.936262811899994)",1,4808,209300,2024-01-16T15:25:37.471475,761,286041,,47.167.220.10,2024-01-16T15:26:04.004498,,,,,"""A""",2023-12-12T15:02:27.129990,completed,0,0,0,1,
1,83.59127688,57.70109189,79.02117733,41.89660655,"(83.5912768775, 57.70109189380001)","(79.0211773336, 41.8966065539)",2,4809,209486,2024-01-17T16:14:42.113533,761,286042,,47.167.220.10,2024-01-17T16:15:18.618161,,,,,"""B""",2023-12-12T15:02:27.241863,completed,0,0,0,1,
2,126.9525377,-14.96905625,66.53323188,57.11735314,"(126.95253768799999, -14.969056245)","(66.5332318839, 57.1173531444)",3,4810,209301,2024-01-16T15:26:04.252089,761,286043,,47.167.220.10,2024-01-16T15:26:11.004501,,,,,"""A""",2023-12-12T15:02:27.351573,completed,0,0,0,1,
3,86.51762574,27.11595352,48.22975095,30.42468883,"(86.5176257407, 27.115953519)","(48.22975095050001, 30.4246888327)",4,3107,209302,2024-01-16T15:26:11.289377,761,286045,,47.167.220.10,2024-01-16T15:26:16.927966,,,,,"""A""",2023-12-12T15:02:27.543629,completed,0,0,0,1,
4,113.667283,30.77316584,22.3976477,-6.059943058,"(113.667282984, 30.7731658421)","(22.397647695, -6.0599430578)",5,4811,209487,2024-01-17T16:15:19.080010,761,286046,,47.167.220.10,2024-01-17T16:15:25.645886,,,,,"""B""",2023-12-12T15:02:27.660373,completed,0,0,0,1,
5,-69.05262269,-49.63229309,-131.5021964,56.72479682,"(-69.0526226931, -49.632293087700006)","(-131.502196387, 56.7247968185)",6,4812,209488,2024-01-17T16:25:59.850399,761,286952,843,,2024-01-17T16:26:06.735659,,,,,"""B""",2023-12-12T15:03:58.929829,completed,0,0,0,1,
6,-68.22549474,57.95672648,141.0120246,-6.302194439,"(-68.2254947385, 57.9567264762)","(141.012024559, -6.302194439040001)",7,4813,209489,2024-01-17T16:26:07.083105,761,286954,843,,2024-01-17T16:26:11.113042,,,,,"""A""",2023-12-12T15:03:59.128758,completed,0,0,0,1,
7,144.1942768,-4.318927936,44.71536043,65.70070482,"(144.194276813, -4.31892793571)","(44.7153604316, 65.700704824)",8,4814,209490,2024-01-17T16:26:11.416512,761,286956,843,,2024-01-17T16:26:13.106376,,,,,"""B""",2023-12-12T15:03:59.328477,completed,0,0,0,1,
8,91.32088386,29.68363914,-5.915601802,39.8163321,"(91.3208838631, 29.683639137399997)","(-5.91560180249, 39.8163320959)",9,4815,209491,2024-01-17T16:26:13.398394,761,286958,843,,2024-01-17T16:26:15.924335,,,,,"""B""",2023-12-12T15:03:59.508632,completed,0,0,0,1,
9,-67.63480954,-15.80716678,128.9222145,58.4889392,"(-67.6348095389, -15.8071667768)","(128.92221446, 58.488939203)",10,4816,209492,2024-01-17T16:26:16.236972,761,286960,843,,2024-01-17T16:26:17.800251,,,,,"""B""",2023-12-12T15:03:59.693735,completed,0,0,0,1,
10,-54.98655399,-20.10895185,-63.29390608,-17.20629175,"(-54.986553994, -20.1089518537)","(-63.293906076499994, -17.2062917534)",11,4150,209819,2024-01-19T22:35:11.714942,761,384212,,47.167.220.10,2024-01-19T22:36:40.364059,,,,,"""B""",2024-01-17T18:58:28.121773,completed,0,0,0,1,
11,-75.30519425,-11.94526973,-3.992866741,15.91065473,"(-75.3051942474, -11.9452697334)","(-3.99286674053, 15.9106547289)",12,652,223996,2024-01-31T11:07:55.806829,761,384213,,47.167.220.10,2024-01-31T11:08:47.451777,,,,,"""A""",2024-01-17T18:58:28.294879,completed,0,0,0,1,
12,-54.65840341,-22.91913556,6.116264983,10.81473774,"(-54.6584034099, -22.919135555500002)","(6.11626498331, 10.814737736)",13,1265,209820,2024-01-19T22:36:40.848475,761,384214,,47.167.220.10,2024-01-19T22:37:04.458243,,,,,"""B""",2024-01-17T18:58:28.453365,completed,0,0,0,1,
