,geo_A_id,geo_B_id,task_id,winner_side,winner_ID,loser_ID
0,1,4808,209300,A,1,4808
1,2,4809,209486,B,4809,2
2,3,4810,209301,A,3,4810
3,4,3107,209302,A,4,3107
4,5,4811,209487,B,4811,5
5,6,4812,209488,B,4812,6
6,7,4813,209489,A,7,4813
7,8,4814,209490,B,4814,8
8,9,4815,209491,B,4815,9
9,10,4816,209492,B,4816,10
10,11,4150,209819,B,4150,11
11,12,652,223996,A,12,652
12,13,1265,209820,B,1265,13
13,14,3269,209656,B,3269,14
14,15,2067,224076,B,2067,15
15,16,2207,209657,B,2207,16
16,17,2247,209821,B,2247,17
17,18,1084,209658,B,1084,18
18,19,4588,223997,A,19,4588
19,20,2584,209659,A,20,2584
20,21,22,209822,A,21,22
21,22,367,209660,A,22,367
22,23,891,224221,A,23,891
23,24,4783,209661,A,24,4783
24,25,1627,209823,B,1627,25
25,26,1758,209662,A,26,1758
26,27,4044,223998,B,4044,27
27,28,2666,209663,A,28,2666
28,29,4456,209824,B,4456,29
29,30,4283,209664,A,30,4283
30,31,2035,224077,B,2035,31
31,32,2038,209665,B,2038,32
32,33,853,209825,A,33,853
33,34,617,209666,B,617,34
34,35,2508,223999,A,35,2508
35,36,1163,209667,A,36,1163
36,37,839,224230,B,839,37
37,38,695,224000,A,38,695
38,39,3876,224078,A,39,3876
39,40,1288,224001,B,1288,40
40,41,111,224222,B,111,41
41,42,3402,224002,B,3402,42
42,43,3042,224079,A,43,3042
43,44,4487,224003,B,4487,44
44,45,4173,224282,B,4173,45
45,46,1505,224004,B,1505,46
46,47,1332,210735,B,1332,47
47,48,3431,224080,A,48,3431
48,49,3184,210736,B,3184,49
49,50,2410,224005,A,50,2410
50,51,966,210737,B,966,51
51,52,921,224223,B,921,52
52,53,2418,210738,B,2418,53
53,54,4363,224006,A,54,4363
54,55,4191,210739,A,55,4191
55,56,1385,224081,B,1385,56
56,57,2242,210740,A,57,2242
57,58,198,224007,A,58,198
58,59,1281,210741,A,59,1281
59,60,4287,224234,A,60,4287
60,61,3776,210742,B,3776,61
61,62,1780,224008,B,1780,62
62,63,1774,210743,B,1774,63
63,64,3373,224082,A,64,3373
64,65,721,210744,B,721,65
65,66,2859,224009,A,66,2859
66,67,1943,210745,A,67,1943
67,68,974,224224,A,68,974
68,69,2526,210746,B,2526,69
69,70,1469,224010,B,1469,70
70,71,1015,210747,B,1015,71
71,72,2030,224083,A,72,2030
72,73,4722,210748,A,73,4722
73,74,3388,224011,B,3388,74
74,75,3510,210749,B,3510,75
75,76,2815,224442,A,76,2815
76,77,2553,210750,A,77,2553
77,78,4618,224012,B,4618,78
78,79,3787,210751,A,79,3787
79,80,3180,224087,B,3180,80
80,81,2251,210752,B,2251,81
81,82,4657,224013,A,82,4657
82,83,3021,210753,A,83,3021
83,84,2115,224225,A,84,2115
84,85,2380,210754,B,2380,85
85,86,1273,224014,B,1273,86
86,87,739,210755,B,739,87
87,88,4552,224093,B,4552,88
88,89,1219,210756,B,1219,89
89,90,4340,224236,B,4340,90
90,91,4615,210757,B,4615,91
91,92,4415,224096,B,4415,92
92,93,4216,210758,B,4216,93
93,94,1088,224226,A,94,1088
94,95,2900,210759,A,95,2900
95,96,3823,224099,A,96,3823
96,97,566,210760,B,566,97
97,98,2555,224283,B,2555,98
98,99,2362,210761,A,99,2362
99,100,1242,224103,B,1242,100
100,101,1043,210762,A,101,1043
101,102,3977,224227,A,102,3977
102,103,583,210763,A,103,583
103,104,2389,224104,B,2389,104
104,105,579,210764,A,105,579
105,106,1842,224241,A,106,1842
106,107,1528,210765,B,1528,107
107,91,3083,224108,B,3083,91
108,108,4757,224228,A,108,4757
109,109,3539,224111,B,3539,109
110,110,2362,210766,A,110,2362
111,111,4789,224465,A,111,4789
112,112,2239,210767,B,2239,112
113,113,1850,224113,A,113,1850
114,114,4059,210768,B,4059,114
115,115,604,224229,B,604,115
116,116,4511,210769,A,116,4511
117,117,626,224114,B,626,117
118,118,2682,210770,A,118,2682
119,119,4613,224243,B,4613,119
120,120,4193,210771,B,4193,120
121,121,4289,224115,A,121,4289
122,122,630,210772,A,122,630
123,123,1673,224231,B,1673,123
124,124,4538,210773,A,124,4538
125,125,2978,224119,B,2978,125
126,126,3006,210774,B,3006,126
127,127,4378,224284,A,127,4378
128,128,4790,210775,A,128,4790
129,129,1416,224120,A,129,1416
130,130,2612,210776,A,130,2612
131,131,3617,224246,B,3617,131
132,132,326,210777,A,132,326
133,133,4522,224121,B,4522,133
134,134,1241,210778,A,134,1241
135,135,1483,224232,A,135,1483
136,136,3443,210779,B,3443,136
137,137,3522,224123,A,137,3522
138,138,4611,210780,A,138,4611
139,139,4554,224443,A,139,4554
140,140,4795,210781,A,140,4795
141,141,1991,224127,A,141,1991
142,142,3864,210782,B,3864,142
143,143,2525,224233,B,2525,143
144,144,2235,210783,A,144,2235
145,145,48,224129,B,48,145
146,146,842,210784,A,146,842
147,147,1160,224248,B,1160,147
148,148,2205,210785,A,148,2205
149,149,2328,224133,B,2328,149
150,150,3436,210786,B,3436,150
151,57,4668,224235,A,57,4668
152,151,3799,210787,A,151,3799
153,152,3062,224135,B,3062,152
154,153,220,210788,B,220,153
155,154,1270,224286,B,1270,154
156,155,2669,210789,B,2669,155
157,156,3343,224136,B,3343,156
158,157,2074,210790,A,157,2074
159,158,4773,224250,A,158,4773
160,159,1699,210791,B,1699,159
161,160,4346,224139,B,4346,160
162,161,4351,210792,A,161,4351
163,162,4555,224237,A,162,4555
164,163,664,210793,B,664,163
165,164,1966,224141,A,164,1966
166,165,2703,210794,A,165,2703
167,166,3372,224502,A,166,3372
168,167,3907,210795,B,3907,167
169,168,2142,224252,B,2142,168
170,169,4620,210796,A,169,4620
171,170,3464,224238,B,3464,170
172,171,4262,210797,B,4262,171
173,172,1804,224287,B,1804,172
174,173,2597,210798,B,2597,173
175,174,4113,224239,A,174,4113
176,175,1116,210799,B,1116,175
177,176,3796,224253,B,3796,176
178,177,2423,210800,A,177,2423
179,178,3720,224240,B,3720,178
180,179,4737,210801,A,179,4737
181,180,158,224444,A,180,158
182,181,3287,210802,B,3287,181
183,182,2118,224242,A,182,2118
184,183,4125,210803,A,183,4125
185,184,3249,224255,A,184,3249
186,185,4353,210804,B,4353,185
187,186,3257,224289,B,3257,186
188,187,2095,210805,B,2095,187
189,188,1648,224244,A,188,1648
190,189,4475,210806,A,189,4475
191,190,4107,224258,A,190,4107
192,191,3340,210807,A,191,3340
193,192,3973,224466,A,192,3973
194,193,1095,210808,B,1095,193
195,194,2199,224245,B,2199,194
196,195,1863,210809,B,1863,195
197,196,559,224261,B,559,196
198,197,3593,210810,B,3593,197
199,198,3477,224247,B,3477,198
200,199,2167,210811,A,199,2167
201,200,3659,224291,B,3659,200
202,201,3397,210812,A,201,3397
203,202,4136,224269,A,202,4136
204,203,3726,210813,A,203,3726
